Location,"Total 
Offenses","Animal 
Cruelty","Drug/
Narcotic
Offenses","Gambling
Offenses","Pornography/
Obscene
Material","Prostitution
Offenses","Weapon 
Law
Violations"
Total,"20,25,345","25,160","15,77,175","3,273","50,342","16,239","3,53,156"
Abandoned/Condemned Structure,"1,921",40,"1,687",5,2,1,186
Air/Bus/Train Terminal,"19,397",31,"13,038",2,82,13,"6,231"
Amusement Park,764,17,591,8,12,6,130
Arena/Stadium/Fairgrounds/Coliseum,708,13,516,1,14,1,163
ATM Separate From Bank,102,0,74,0,4,0,24
Auto Dealership New/Used,887,7,696,1,4,1,178
Bank/Savings and Loan,"1,952",9,"1,675",2,8,6,252
Bar/Nightclub,"6,002",23,"3,367",74,43,144,"2,351"
Camp/Campground,"1,573",25,"1,262",0,27,2,257
Church/Synagogue/Temple/Mosque,"3,205",44,"2,722",2,44,14,379
Commercial/Office Building,"16,066",231,"12,720",213,223,580,"2,099"
Community Center,950,10,728,1,22,4,185
Construction Site,"2,240",16,"1,975",1,4,2,242
Convenience Store,"33,751",74,"28,556",831,73,89,"4,128"
Cyberspace,"10,955",0,74,2,"10,551",248,80
Daycare Facility,241,7,179,0,21,1,33
Department/Discount Store,"26,517",122,"23,576",23,174,25,"2,597"
Dock/Wharf/Freight/Modal Terminal,"2,684",7,"2,545",0,9,0,123
Drug Store/Doctor's Office/Hospital,"12,562",112,"11,097",1,105,36,"1,211"
Farm Facility,448,180,207,1,1,0,59
Field/Woods,"12,253",623,"8,827",5,22,40,"2,736"
Gambling Facility/Casino/Race Track ,"7,384",27,"5,484",706,13,755,399
Government/Public Building,"16,688",219,"13,050",46,"1,570",113,"1,690"
Grocery/Supermarket,"16,802",109,"14,596",118,65,18,"1,896"
Highway/Road/Alley/Street/Sidewalk,"10,31,856","2,436","8,54,843",260,542,"5,258","1,68,517"
Hotel/Motel/Etc.,"36,937",275,"27,686",46,308,"4,575","4,047"
Industrial Site,"1,011",12,823,2,14,4,156
Jail/Prison/Penitentiary/Corrections Facility,"23,886",13,"21,478",1,150,36,"2,208"
Lake/Waterway/Beach,"1,939",66,"1,546",0,13,2,312
Liquor Store,"1,446",8,"1,050",8,0,2,378
Military Installation,105,3,76,1,7,6,12
Park/Playground,"30,267",414,"24,982",9,179,82,"4,601"
Parking/Drop Lot/Garage,"1,59,478","1,326","1,34,552",32,241,636,"22,691"
Rental Storage Facility,"2,463",71,"1,984",1,24,11,372
Residence/Home,"3,26,771","17,216","1,96,814",309,"25,671","2,136","84,625"
Rest Area,595,5,496,0,8,3,83
Restaurant,"14,953",81,"11,845",49,177,52,"2,749"
School/College,"4,744",4,"3,460",4,308,3,965
School–College/University,"8,954",33,"7,206",1,396,12,"1,306"
School–Elementary/Secondary,"60,254",41,"46,461",18,"4,048",29,"9,657"
Service/Gas Station,"29,250",66,"24,957",103,46,91,"3,987"
Shelter–Mission/Homeless,"2,466",41,"2,125",0,35,5,260
Shopping Mall,"5,077",39,"3,919",100,59,104,856
Specialty Store ,"14,448",121,"10,082",84,113,293,"3,755"
Tribal Lands,"1,213",22,802,2,11,2,374
Other/Unknown,"71,180",921,"50,746",200,"4,899",798,"13,616"
